Experiment	Sweep	
Date	30.09.2022 14:35:03	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	BWD, plasmons, Vtip = -132. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
128.000E+0	-132.000E+0	24.8002E-9	0.00000E+0	128.000E+0	29.8167E-9
127.950E+0	-132.000E+0	24.8116E-9	0.00000E+0	127.950E+0	29.8248E-9
127.900E+0	-132.000E+0	24.7548E-9	0.00000E+0	127.900E+0	29.7573E-9
127.850E+0	-132.000E+0	24.7803E-9	0.00000E+0	127.850E+0	29.7914E-9
127.800E+0	-132.000E+0	24.7294E-9	0.00000E+0	127.800E+0	29.7338E-9
127.750E+0	-132.000E+0	24.7676E-9	0.00000E+0	127.750E+0	29.7732E-9
127.700E+0	-132.000E+0	24.7929E-9	0.00000E+0	127.700E+0	29.8087E-9
127.650E+0	-132.000E+0	24.7897E-9	0.00000E+0	127.650E+0	29.8039E-9
127.600E+0	-132.000E+0	24.6953E-9	0.00000E+0	127.600E+0	29.6923E-9
127.550E+0	-132.000E+0	24.8792E-9	0.00000E+0	127.550E+0	29.9099E-9
127.500E+0	-132.000E+0	24.9243E-9	0.00000E+0	127.500E+0	29.9699E-9
127.450E+0	-132.000E+0	24.9148E-9	0.00000E+0	127.450E+0	29.9506E-9
127.400E+0	-132.000E+0	24.9080E-9	0.00000E+0	127.400E+0	29.9490E-9
127.350E+0	-132.000E+0	24.8734E-9	0.00000E+0	127.350E+0	29.9010E-9
127.300E+0	-132.000E+0	24.8249E-9	0.00000E+0	127.300E+0	29.8515E-9
127.250E+0	-132.000E+0	24.8613E-9	0.00000E+0	127.250E+0	29.8914E-9
127.200E+0	-132.000E+0	24.7623E-9	0.00000E+0	127.200E+0	29.7730E-9
127.150E+0	-132.000E+0	24.7760E-9	0.00000E+0	127.150E+0	29.7892E-9
127.100E+0	-132.000E+0	24.7682E-9	0.00000E+0	127.100E+0	29.7809E-9
127.050E+0	-132.000E+0	24.8260E-9	0.00000E+0	127.050E+0	29.8489E-9
127.000E+0	-132.000E+0	24.8072E-9	0.00000E+0	127.000E+0	29.8254E-9
126.950E+0	-132.000E+0	24.8157E-9	0.00000E+0	126.950E+0	29.8399E-9
126.900E+0	-132.000E+0	24.8071E-9	0.00000E+0	126.900E+0	29.8265E-9
126.850E+0	-132.000E+0	24.8237E-9	0.00000E+0	126.850E+0	29.8437E-9
126.800E+0	-132.000E+0	24.9007E-9	0.00000E+0	126.800E+0	29.9366E-9
126.750E+0	-132.000E+0	24.8556E-9	0.00000E+0	126.750E+0	29.8844E-9
126.700E+0	-132.000E+0	24.9067E-9	0.00000E+0	126.700E+0	29.9469E-9
126.650E+0	-132.000E+0	24.7578E-9	0.00000E+0	126.650E+0	29.7731E-9
126.600E+0	-132.000E+0	24.8376E-9	0.00000E+0	126.600E+0	29.8628E-9
126.550E+0	-132.000E+0	24.8522E-9	0.00000E+0	126.550E+0	29.8772E-9
126.500E+0	-132.000E+0	24.8375E-9	26.6667E+0	126.500E+0	29.8607E-9
126.450E+0	-132.000E+0	24.8087E-9	20.0000E+0	126.450E+0	29.8277E-9
126.400E+0	-132.000E+0	24.8617E-9	16.6667E+0	126.400E+0	29.8895E-9
126.350E+0	-132.000E+0	24.8311E-9	0.00000E+0	126.350E+0	29.8549E-9
126.300E+0	-132.000E+0	24.8444E-9	0.00000E+0	126.300E+0	29.8701E-9
126.250E+0	-132.000E+0	24.8418E-9	16.6667E+0	126.250E+0	29.8676E-9
126.200E+0	-132.000E+0	24.9097E-9	40.0000E+0	126.200E+0	29.9476E-9
126.150E+0	-132.000E+0	24.9070E-9	0.00000E+0	126.150E+0	29.9477E-9
126.100E+0	-132.000E+0	24.7074E-9	0.00000E+0	126.100E+0	29.7058E-9
126.050E+0	-132.000E+0	24.8143E-9	10.0000E+0	126.050E+0	29.8342E-9
126.000E+0	-132.000E+0	24.6565E-9	0.00000E+0	126.000E+0	29.6482E-9
125.950E+0	-132.000E+0	24.6577E-9	76.6667E+0	125.950E+0	29.6509E-9
125.900E+0	-132.000E+0	24.7154E-9	56.6667E+0	125.900E+0	29.7182E-9
125.850E+0	-132.000E+0	24.7413E-9	56.6667E+0	125.850E+0	29.7507E-9
125.800E+0	-132.000E+0	24.7429E-9	76.6667E+0	125.800E+0	29.7556E-9
125.750E+0	-132.000E+0	24.7476E-9	116.667E+0	125.750E+0	29.7586E-9
125.700E+0	-132.000E+0	24.6561E-9	56.6667E+0	125.700E+0	29.6472E-9
125.650E+0	-132.000E+0	24.6565E-9	30.0000E+0	125.650E+0	29.6465E-9
125.600E+0	-132.000E+0	24.7375E-9	86.6667E+0	125.600E+0	29.7463E-9
125.550E+0	-132.000E+0	24.6758E-9	206.667E+0	125.550E+0	29.6694E-9
125.500E+0	-132.000E+0	24.6793E-9	53.3333E+0	125.500E+0	29.6714E-9
125.450E+0	-132.000E+0	24.6713E-9	73.3333E+0	125.450E+0	29.6620E-9
125.400E+0	-132.000E+0	24.7318E-9	190.000E+0	125.400E+0	29.7313E-9
125.350E+0	-132.000E+0	24.6714E-9	163.333E+0	125.350E+0	29.6615E-9
125.300E+0	-132.000E+0	24.6616E-9	270.000E+0	125.300E+0	29.6506E-9
125.250E+0	-132.000E+0	24.6549E-9	336.667E+0	125.250E+0	29.6419E-9
125.200E+0	-132.000E+0	24.6007E-9	116.667E+0	125.200E+0	29.5798E-9
125.150E+0	-132.000E+0	24.6196E-9	483.333E+0	125.150E+0	29.6021E-9
125.100E+0	-132.000E+0	24.6869E-9	746.667E+0	125.100E+0	29.6836E-9
