Experiment	Sweep	
Date	30.09.2022 14:45:33	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	FWD, plasmons, Vtip = -134. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
86.0000E+0	-134.000E+0	34.0905E-9	3.20000E+3	86.0000E+0	40.8816E-9
86.0500E+0	-134.000E+0	34.0991E-9	2.76667E+3	86.0500E+0	40.8939E-9
86.1000E+0	-134.000E+0	34.1097E-9	3.10000E+3	86.1000E+0	40.9034E-9
86.1500E+0	-134.000E+0	34.1279E-9	3.10333E+3	86.1500E+0	40.9282E-9
86.2000E+0	-134.000E+0	34.1183E-9	3.11667E+3	86.2000E+0	40.9137E-9
86.2500E+0	-134.000E+0	34.1306E-9	3.13333E+3	86.2500E+0	40.9283E-9
86.3000E+0	-134.000E+0	34.0984E-9	3.12333E+3	86.3000E+0	40.8932E-9
86.3500E+0	-134.000E+0	33.8935E-9	2.80333E+3	86.3500E+0	40.6418E-9
86.4000E+0	-134.000E+0	33.7361E-9	3.17667E+3	86.4000E+0	40.4619E-9
86.4500E+0	-134.000E+0	33.7314E-9	3.86000E+3	86.4500E+0	40.4596E-9
86.5000E+0	-134.000E+0	33.7009E-9	2.79000E+3	86.5000E+0	40.4234E-9
86.5500E+0	-134.000E+0	33.7204E-9	2.91667E+3	86.5500E+0	40.4455E-9
86.6000E+0	-134.000E+0	33.7132E-9	3.10333E+3	86.6000E+0	40.4302E-9
86.6500E+0	-134.000E+0	33.7218E-9	2.75333E+3	86.6500E+0	40.4464E-9
86.7000E+0	-134.000E+0	33.7088E-9	2.33667E+3	86.7000E+0	40.4303E-9
86.7500E+0	-134.000E+0	33.7376E-9	2.80667E+3	86.7500E+0	40.4683E-9
86.8000E+0	-134.000E+0	33.7359E-9	3.50333E+3	86.8000E+0	40.4647E-9
86.8500E+0	-134.000E+0	33.7339E-9	2.83333E+3	86.8500E+0	40.4648E-9
86.9000E+0	-134.000E+0	33.7238E-9	3.02333E+3	86.9000E+0	40.4485E-9
86.9500E+0	-134.000E+0	33.7408E-9	3.58333E+3	86.9500E+0	40.4692E-9
87.0000E+0	-134.000E+0	33.7128E-9	2.45333E+3	87.0000E+0	40.4400E-9
87.0500E+0	-134.000E+0	33.9993E-9	3.49333E+3	87.0500E+0	40.7756E-9
87.1000E+0	-134.000E+0	33.9741E-9	3.34000E+3	87.1000E+0	40.7476E-9
87.1500E+0	-134.000E+0	33.9837E-9	3.52333E+3	87.1500E+0	40.7545E-9
87.2000E+0	-134.000E+0	33.9839E-9	2.64333E+3	87.2000E+0	40.7568E-9
87.2500E+0	-134.000E+0	33.9708E-9	2.88000E+3	87.2500E+0	40.7432E-9
87.3000E+0	-134.000E+0	33.9455E-9	3.17667E+3	87.3000E+0	40.7170E-9
87.3500E+0	-134.000E+0	33.9511E-9	3.02333E+3	87.3500E+0	40.7186E-9
87.4000E+0	-134.000E+0	33.9669E-9	2.86667E+3	87.4000E+0	40.7366E-9
87.4500E+0	-134.000E+0	33.9852E-9	2.82000E+3	87.4500E+0	40.7619E-9
87.5000E+0	-134.000E+0	33.9853E-9	2.88000E+3	87.5000E+0	40.7606E-9
87.5500E+0	-134.000E+0	33.9981E-9	2.96667E+3	87.5500E+0	40.7753E-9
87.6000E+0	-134.000E+0	33.9731E-9	2.65333E+3	87.6000E+0	40.7481E-9
87.6500E+0	-134.000E+0	33.9765E-9	2.97667E+3	87.6500E+0	40.7482E-9
87.7000E+0	-134.000E+0	33.9811E-9	2.72000E+3	87.7000E+0	40.7573E-9
87.7500E+0	-134.000E+0	33.9593E-9	2.69333E+3	87.7500E+0	40.7340E-9
87.8000E+0	-134.000E+0	33.9267E-9	2.97667E+3	87.8000E+0	40.6931E-9
87.8500E+0	-134.000E+0	33.9632E-9	2.99333E+3	87.8500E+0	40.7356E-9
87.9000E+0	-134.000E+0	33.9670E-9	3.11667E+3	87.9000E+0	40.7404E-9
87.9500E+0	-134.000E+0	33.9749E-9	2.67667E+3	87.9500E+0	40.7481E-9
88.0000E+0	-134.000E+0	33.9656E-9	3.24000E+3	88.0000E+0	40.7371E-9
88.0500E+0	-134.000E+0	33.9705E-9	3.39333E+3	88.0500E+0	40.7454E-9
88.1000E+0	-134.000E+0	33.9528E-9	2.66333E+3	88.1000E+0	40.7211E-9
88.1500E+0	-134.000E+0	33.9815E-9	2.90667E+3	88.1500E+0	40.7544E-9
88.2000E+0	-134.000E+0	33.9348E-9	3.57333E+3	88.2000E+0	40.7000E-9
88.2500E+0	-134.000E+0	33.9331E-9	3.19667E+3	88.2500E+0	40.7014E-9
88.3000E+0	-134.000E+0	33.9441E-9	2.79667E+3	88.3000E+0	40.7118E-9
88.3500E+0	-134.000E+0	33.9747E-9	3.18000E+3	88.3500E+0	40.7446E-9
88.4000E+0	-134.000E+0	33.9429E-9	2.73667E+3	88.4000E+0	40.7110E-9
88.4500E+0	-134.000E+0	33.9266E-9	3.45000E+3	88.4500E+0	40.6922E-9
88.5000E+0	-134.000E+0	33.9413E-9	3.09667E+3	88.5000E+0	40.7145E-9
88.5500E+0	-134.000E+0	33.9778E-9	2.82000E+3	88.5500E+0	40.7522E-9
88.6000E+0	-134.000E+0	33.9743E-9	2.77333E+3	88.6000E+0	40.7475E-9
88.6500E+0	-134.000E+0	33.9584E-9	2.75000E+3	88.6500E+0	40.7299E-9
88.7000E+0	-134.000E+0	33.9972E-9	3.48333E+3	88.7000E+0	40.7736E-9
88.7500E+0	-134.000E+0	33.9949E-9	3.16000E+3	88.7500E+0	40.7720E-9
88.8000E+0	-134.000E+0	33.9792E-9	3.74667E+3	88.8000E+0	40.7510E-9
88.8500E+0	-134.000E+0	33.9970E-9	3.13000E+3	88.8500E+0	40.7742E-9
88.9000E+0	-134.000E+0	33.9821E-9	2.92667E+3	88.9000E+0	40.7569E-9
88.9500E+0	-134.000E+0	33.9811E-9	2.85000E+3	88.9500E+0	40.7549E-9
89.0000E+0	-134.000E+0	33.9661E-9	3.52667E+3	89.0000E+0	40.7361E-9
89.0500E+0	-134.000E+0	33.9553E-9	2.89333E+3	89.0500E+0	40.7259E-9
89.1000E+0	-134.000E+0	33.9638E-9	2.84333E+3	89.1000E+0	40.7299E-9
89.1500E+0	-134.000E+0	33.9629E-9	3.50667E+3	89.1500E+0	40.7328E-9
89.2000E+0	-134.000E+0	33.9520E-9	3.46667E+3	89.2000E+0	40.7212E-9
89.2500E+0	-134.000E+0	33.9987E-9	2.91667E+3	89.2500E+0	40.7770E-9
89.3000E+0	-134.000E+0	33.9822E-9	2.48000E+3	89.3000E+0	40.7577E-9
89.3500E+0	-134.000E+0	33.9792E-9	3.23333E+3	89.3500E+0	40.7502E-9
89.4000E+0	-134.000E+0	33.9669E-9	3.12000E+3	89.4000E+0	40.7380E-9
