Experiment	Sweep	
Date	30.09.2022 15:44:59	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	FWD, plasmons, Vtip = -138. xyz default, #2	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
86.0000E+0	-138.000E+0	53.3523E-9	3.81333E+3	86.0000E+0	64.0999E-9
86.0500E+0	-138.000E+0	53.3982E-9	4.86667E+3	86.0500E+0	64.1585E-9
86.1000E+0	-138.000E+0	53.4636E-9	4.63667E+3	86.1000E+0	64.2349E-9
86.1500E+0	-138.000E+0	53.4943E-9	3.80667E+3	86.1500E+0	64.2738E-9
86.2000E+0	-138.000E+0	53.4498E-9	4.19000E+3	86.2000E+0	64.2163E-9
86.2500E+0	-138.000E+0	53.3879E-9	4.29000E+3	86.2500E+0	64.1408E-9
86.3000E+0	-138.000E+0	53.4236E-9	3.85333E+3	86.3000E+0	64.1874E-9
86.3500E+0	-138.000E+0	53.4277E-9	3.85667E+3	86.3500E+0	64.1880E-9
86.4000E+0	-138.000E+0	53.5528E-9	3.72333E+3	86.4000E+0	64.3378E-9
86.4500E+0	-138.000E+0	53.4942E-9	4.77333E+3	86.4500E+0	64.2685E-9
86.5000E+0	-138.000E+0	53.4990E-9	4.02667E+3	86.5000E+0	64.2726E-9
86.5500E+0	-138.000E+0	53.4373E-9	3.91000E+3	86.5500E+0	64.2001E-9
86.6000E+0	-138.000E+0	53.4622E-9	4.06000E+3	86.6000E+0	64.2287E-9
86.6500E+0	-138.000E+0	53.4032E-9	3.73667E+3	86.6500E+0	64.1580E-9
86.7000E+0	-138.000E+0	53.4166E-9	3.82000E+3	86.7000E+0	64.1763E-9
86.7500E+0	-138.000E+0	53.4064E-9	4.20333E+3	86.7500E+0	64.1660E-9
86.8000E+0	-138.000E+0	53.3361E-9	4.22667E+3	86.8000E+0	64.0815E-9
86.8500E+0	-138.000E+0	53.6242E-9	4.10667E+3	86.8500E+0	64.4302E-9
86.9000E+0	-138.000E+0	53.6135E-9	4.21333E+3	86.9000E+0	64.4169E-9
86.9500E+0	-138.000E+0	53.4427E-9	3.96333E+3	86.9500E+0	64.2113E-9
87.0000E+0	-138.000E+0	53.5023E-9	3.60667E+3	87.0000E+0	64.2803E-9
87.0500E+0	-138.000E+0	53.4164E-9	4.16333E+3	87.0500E+0	64.1753E-9
87.1000E+0	-138.000E+0	53.5348E-9	3.67333E+3	87.1000E+0	64.3220E-9
87.1500E+0	-138.000E+0	53.4576E-9	3.80667E+3	87.1500E+0	64.2287E-9
87.2000E+0	-138.000E+0	53.3925E-9	4.20333E+3	87.2000E+0	64.1514E-9
87.2500E+0	-138.000E+0	53.4552E-9	4.55667E+3	87.2500E+0	64.2202E-9
87.3000E+0	-138.000E+0	53.3915E-9	4.37000E+3	87.3000E+0	64.1447E-9
87.3500E+0	-138.000E+0	53.4128E-9	4.10333E+3	87.3500E+0	64.1710E-9
87.4000E+0	-138.000E+0	53.4469E-9	4.54000E+3	87.4000E+0	64.2105E-9
87.4500E+0	-138.000E+0	53.4619E-9	4.26000E+3	87.4500E+0	64.2354E-9
87.5000E+0	-138.000E+0	53.4415E-9	4.18333E+3	87.5000E+0	64.2077E-9
87.5500E+0	-138.000E+0	53.3682E-9	4.52000E+3	87.5500E+0	64.1219E-9
87.6000E+0	-138.000E+0	53.4561E-9	3.95000E+3	87.6000E+0	64.2252E-9
87.6500E+0	-138.000E+0	53.4602E-9	4.32000E+3	87.6500E+0	64.2327E-9
87.7000E+0	-138.000E+0	53.3732E-9	4.27000E+3	87.7000E+0	64.1250E-9
87.7500E+0	-138.000E+0	53.4913E-9	4.08333E+3	87.7500E+0	64.2661E-9
87.8000E+0	-138.000E+0	53.4167E-9	4.02667E+3	87.8000E+0	64.1791E-9
87.8500E+0	-138.000E+0	53.4945E-9	4.31000E+3	87.8500E+0	64.2732E-9
87.9000E+0	-138.000E+0	53.3740E-9	4.37333E+3	87.9000E+0	64.1247E-9
87.9500E+0	-138.000E+0	53.4488E-9	4.69000E+3	87.9500E+0	64.2188E-9
88.0000E+0	-138.000E+0	53.3944E-9	3.39000E+3	88.0000E+0	64.1545E-9
88.0500E+0	-138.000E+0	53.4119E-9	3.59667E+3	88.0500E+0	64.1689E-9
88.1000E+0	-138.000E+0	53.3086E-9	4.13333E+3	88.1000E+0	64.0474E-9
88.1500E+0	-138.000E+0	53.3942E-9	4.05000E+3	88.1500E+0	64.1554E-9
88.2000E+0	-138.000E+0	53.2846E-9	3.94000E+3	88.2000E+0	64.0162E-9
88.2500E+0	-138.000E+0	53.3963E-9	4.13667E+3	88.2500E+0	64.1507E-9
88.3000E+0	-138.000E+0	53.3371E-9	4.15667E+3	88.3000E+0	64.0763E-9
88.3500E+0	-138.000E+0	53.4119E-9	3.86667E+3	88.3500E+0	64.1700E-9
88.4000E+0	-138.000E+0	53.4406E-9	3.93333E+3	88.4000E+0	64.2058E-9
88.4500E+0	-138.000E+0	53.4400E-9	4.30667E+3	88.4500E+0	64.2093E-9
88.5000E+0	-138.000E+0	53.4231E-9	3.75667E+3	88.5000E+0	64.1849E-9
88.5500E+0	-138.000E+0	53.1364E-9	3.62667E+3	88.5500E+0	63.8313E-9
88.6000E+0	-138.000E+0	53.3186E-9	4.15667E+3	88.6000E+0	64.0571E-9
88.6500E+0	-138.000E+0	53.3559E-9	3.46000E+3	88.6500E+0	64.1007E-9
88.7000E+0	-138.000E+0	53.2818E-9	4.06333E+3	88.7000E+0	64.0140E-9
88.7500E+0	-138.000E+0	53.3728E-9	4.42333E+3	88.7500E+0	64.1240E-9
88.8000E+0	-138.000E+0	53.4541E-9	4.26333E+3	88.8000E+0	64.2219E-9
88.8500E+0	-138.000E+0	53.2734E-9	4.23667E+3	88.8500E+0	63.9982E-9
88.9000E+0	-138.000E+0	53.4712E-9	4.65333E+3	88.9000E+0	64.2426E-9
88.9500E+0	-138.000E+0	53.5443E-9	3.82000E+3	88.9500E+0	64.3336E-9
89.0000E+0	-138.000E+0	53.3779E-9	4.18000E+3	89.0000E+0	64.1311E-9
89.0500E+0	-138.000E+0	53.3452E-9	4.06667E+3	89.0500E+0	64.0939E-9
89.1000E+0	-138.000E+0	53.3207E-9	3.80000E+3	89.1000E+0	64.0595E-9
89.1500E+0	-138.000E+0	53.4490E-9	4.53667E+3	89.1500E+0	64.2149E-9
89.2000E+0	-138.000E+0	53.4304E-9	3.86000E+3	89.2000E+0	64.1884E-9
89.2500E+0	-138.000E+0	53.3872E-9	4.51333E+3	89.2500E+0	64.1415E-9
89.3000E+0	-138.000E+0	53.3179E-9	4.39667E+3	89.3000E+0	64.0563E-9
89.3500E+0	-138.000E+0	53.5005E-9	3.62333E+3	89.3500E+0	64.2785E-9
89.4000E+0	-138.000E+0	53.4352E-9	4.65333E+3	89.4000E+0	64.1976E-9
89.4500E+0	-138.000E+0	53.3656E-9	4.00000E+3	89.4500E+0	64.1164E-9
89.5000E+0	-138.000E+0	53.4794E-9	4.08667E+3	89.5000E+0	64.2547E-9
89.5500E+0	-138.000E+0	53.4889E-9	4.74667E+3	89.5500E+0	64.2636E-9
89.6000E+0	-138.000E+0	53.4655E-9	3.83333E+3	89.6000E+0	64.2371E-9
