Experiment	Sweep	
Date	30.08.2022 14:26:10	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	Vtip=135, BWD, XYZ default	

[DATA]
BB Back Bias (V)	Timestamp (ms)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
135.000E+0	6.73124E+6	-135.000E+0	8.71127E-9	0.00000E+0	135.000E+0	9.40796E-9
134.900E+0	6.73165E+6	-135.000E+0	8.76880E-9	0.00000E+0	134.900E+0	9.46936E-9
134.800E+0	6.73205E+6	-135.000E+0	8.65505E-9	0.00000E+0	134.800E+0	9.35003E-9
134.700E+0	6.73245E+6	-135.000E+0	8.68223E-9	0.00000E+0	134.700E+0	9.37770E-9
134.600E+0	6.73283E+6	-135.000E+0	8.97694E-9	0.00000E+0	134.600E+0	9.69344E-9
134.500E+0	6.73325E+6	-135.000E+0	7.98534E-9	0.00000E+0	134.500E+0	8.63488E-9
134.400E+0	6.73363E+6	-135.000E+0	8.68834E-9	0.00000E+0	134.400E+0	9.38525E-9
134.300E+0	6.73405E+6	-135.000E+0	8.57028E-9	0.00000E+0	134.300E+0	9.25845E-9
134.200E+0	6.73446E+6	-135.000E+0	8.37141E-9	0.00000E+0	134.200E+0	9.04524E-9
134.100E+0	6.73485E+6	-135.000E+0	8.59207E-9	0.00000E+0	134.100E+0	9.27922E-9
134.000E+0	6.73524E+6	-135.000E+0	8.91703E-9	0.00000E+0	134.000E+0	9.62961E-9
133.900E+0	6.73566E+6	-135.000E+0	8.62457E-9	0.00000E+0	133.900E+0	9.31646E-9
133.800E+0	6.73606E+6	-135.000E+0	8.20617E-9	0.00000E+0	133.800E+0	8.87050E-9
133.700E+0	6.73645E+6	-135.000E+0	8.53404E-9	0.00000E+0	133.700E+0	9.21916E-9
133.600E+0	6.73684E+6	-135.000E+0	8.48019E-9	0.00000E+0	133.600E+0	9.16002E-9
133.500E+0	6.73728E+6	-135.000E+0	8.88531E-9	0.00000E+0	133.500E+0	9.59260E-9
133.400E+0	6.73765E+6	-135.000E+0	8.75774E-9	0.00000E+0	133.400E+0	9.45708E-9
133.300E+0	6.73805E+6	-135.000E+0	8.49079E-9	0.00000E+0	133.300E+0	9.17224E-9
133.200E+0	6.73844E+6	-135.000E+0	9.00329E-9	0.00000E+0	133.200E+0	9.72413E-9
133.100E+0	6.73884E+6	-135.000E+0	8.90125E-9	0.00000E+0	133.100E+0	9.61076E-9
133.000E+0	6.73924E+6	-135.000E+0	8.50269E-9	0.00000E+0	133.000E+0	9.18499E-9
132.900E+0	6.73964E+6	-135.000E+0	9.06462E-9	0.00000E+0	132.900E+0	9.78682E-9
132.800E+0	6.74004E+6	-135.000E+0	8.71262E-9	0.00000E+0	132.800E+0	9.40902E-9
132.700E+0	6.74045E+6	-135.000E+0	8.80696E-9	0.00000E+0	132.700E+0	9.50899E-9
132.600E+0	6.74086E+6	-135.000E+0	9.33568E-9	0.00000E+0	132.600E+0	10.0808E-9
132.500E+0	6.74124E+6	-135.000E+0	8.54092E-9	0.00000E+0	132.500E+0	9.22515E-9
132.400E+0	6.74164E+6	-135.000E+0	9.04155E-9	0.00000E+0	132.400E+0	9.76174E-9
132.300E+0	6.74205E+6	-135.000E+0	8.71116E-9	0.00000E+0	132.300E+0	9.40911E-9
132.200E+0	6.74249E+6	-135.000E+0	8.62223E-9	0.00000E+0	132.200E+0	9.31141E-9
132.100E+0	6.74284E+6	-135.000E+0	8.29811E-9	0.00000E+0	132.100E+0	8.96529E-9
132.000E+0	6.74326E+6	-135.000E+0	8.29847E-9	0.00000E+0	132.000E+0	8.96550E-9
131.900E+0	6.74366E+6	-135.000E+0	9.00401E-9	0.00000E+0	131.900E+0	9.72186E-9
131.800E+0	6.74405E+6	-135.000E+0	8.71752E-9	0.00000E+0	131.800E+0	9.41489E-9
131.700E+0	6.74448E+6	-135.000E+0	8.36219E-9	0.00000E+0	131.700E+0	9.03275E-9
131.600E+0	6.74486E+6	-135.000E+0	9.53096E-9	0.00000E+0	131.600E+0	10.2889E-9
131.500E+0	6.74525E+6	-135.000E+0	9.43062E-9	0.00000E+0	131.500E+0	10.1809E-9
131.400E+0	6.74564E+6	-135.000E+0	9.21569E-9	0.00000E+0	131.400E+0	9.95446E-9
131.300E+0	6.74604E+6	-135.000E+0	8.74819E-9	0.00000E+0	131.300E+0	9.44657E-9
131.200E+0	6.74645E+6	-135.000E+0	8.59884E-9	0.00000E+0	131.200E+0	9.28681E-9
131.100E+0	6.74686E+6	-135.000E+0	8.25852E-9	0.00000E+0	131.100E+0	8.92352E-9
131.000E+0	6.74725E+6	-135.000E+0	8.15632E-9	0.00000E+0	131.000E+0	8.81269E-9
130.900E+0	6.74765E+6	-135.000E+0	8.84657E-9	0.00000E+0	130.900E+0	9.55239E-9
130.800E+0	6.74805E+6	-135.000E+0	8.84734E-9	0.00000E+0	130.800E+0	9.55445E-9
130.700E+0	6.74846E+6	-135.000E+0	8.80135E-9	0.00000E+0	130.700E+0	9.50336E-9
130.600E+0	6.74885E+6	-135.000E+0	9.20709E-9	0.00000E+0	130.600E+0	9.94072E-9
130.500E+0	6.74927E+6	-135.000E+0	8.29197E-9	0.00000E+0	130.500E+0	8.95794E-9
130.400E+0	6.74966E+6	-135.000E+0	8.88398E-9	35.0000E+0	130.400E+0	9.59179E-9
130.300E+0	6.75004E+6	-135.000E+0	8.58920E-9	0.00000E+0	130.300E+0	9.27304E-9
130.200E+0	6.75045E+6	-135.000E+0	8.85649E-9	30.0000E+0	130.200E+0	9.56822E-9
130.100E+0	6.75088E+6	-135.000E+0	8.18756E-9	90.0000E+0	130.100E+0	8.84819E-9
130.000E+0	6.75125E+6	-135.000E+0	8.26638E-9	95.0000E+0	130.000E+0	8.92973E-9
129.900E+0	6.75166E+6	-135.000E+0	9.16163E-9	265.000E+0	129.900E+0	9.88594E-9
129.800E+0	6.75205E+6	-135.000E+0	8.62443E-9	100.000E+0	129.800E+0	9.31434E-9
129.700E+0	6.75245E+6	-135.000E+0	8.79511E-9	370.000E+0	129.700E+0	9.49424E-9
129.600E+0	6.75286E+6	-135.000E+0	8.82420E-9	1.16000E+3	129.600E+0	9.52690E-9
129.500E+0	6.75326E+6	-135.000E+0	8.71208E-9	1.84500E+3	129.500E+0	9.40845E-9
129.400E+0	6.75368E+6	-135.000E+0	8.79879E-9	3.44500E+3	129.400E+0	9.50273E-9
129.300E+0	6.75406E+6	-135.000E+0	9.49287E-9	4.05000E+3	129.300E+0	10.2498E-9
129.200E+0	6.75447E+6	-135.000E+0	9.59512E-9	7.34500E+3	129.200E+0	10.3585E-9
129.100E+0	6.75489E+6	-135.000E+0	9.40578E-9	7.69000E+3	129.100E+0	10.1539E-9
129.000E+0	6.75524E+6	-135.000E+0	8.56633E-9	7.96500E+3	129.000E+0	9.25153E-9
128.900E+0	6.75566E+6	-135.000E+0	8.67848E-9	9.75500E+3	128.900E+0	9.37167E-9
128.800E+0	6.75605E+6	-135.000E+0	8.87453E-9	10.1400E+3	128.800E+0	9.58176E-9
128.700E+0	6.75648E+6	-135.000E+0	8.12466E-9	11.8050E+3	128.700E+0	8.78210E-9
128.600E+0	6.75685E+6	-135.000E+0	8.69007E-9	11.3650E+3	128.600E+0	9.38428E-9
