Experiment	Z spectroscopy	
Date	02.05.2018 17:07:33	
User		
X (m)	639.704E-9	
Y (m)	362.349E-9	
Z (m)	-59.122E-9	
Z offset (m)	0E+0	
Z sweep distance (m)	-50E-9	
Settling time (s)	250E-6	
Integration time (s)	1E-3	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	Clam 38 eV	

[DATA]
Z rel (m)	Current (A)	Tip Current (A)	Pressure Lisa (V)	Channeltron (Hz)	CLAM  2 (Hz)	Bias (V)	Z (m)	Current [bwd] (A)	Tip Current [bwd] (A)	Pressure Lisa [bwd] (V)	Channeltron [bwd] (Hz)	CLAM  2 [bwd] (Hz)	Bias [bwd] (V)	Z [bwd] (m)
0.00000E+0	-227.562E-9	225.327E-9	3.31496E+0	48.8000E+3	5.60000E+3	-115.000E+0	-59.1220E-9	-243.578E-9	240.176E-9	3.31128E+0	55.8000E+3	5.10000E+3	-115.000E+0	-59.1220E-9
100.200E-12	-227.540E-9	225.154E-9	3.31523E+0	50.7000E+3	3.10000E+3	-115.000E+0	-59.0218E-9	-243.223E-9	242.577E-9	3.31113E+0	52.5000E+3	5.30000E+3	-115.000E+0	-59.0218E-9
200.401E-12	-227.128E-9	225.320E-9	3.31501E+0	47.6000E+3	4.60000E+3	-115.000E+0	-58.9216E-9	-241.498E-9	239.573E-9	3.31101E+0	53.6000E+3	5.10000E+3	-115.000E+0	-58.9216E-9
300.601E-12	-225.801E-9	223.080E-9	3.31467E+0	49.1000E+3	4.40000E+3	-115.000E+0	-58.8214E-9	-240.339E-9	237.989E-9	3.31095E+0	51.6000E+3	6.10000E+3	-115.000E+0	-58.8214E-9
400.802E-12	-225.648E-9	223.899E-9	3.31428E+0	45.9000E+3	4.50000E+3	-115.000E+0	-58.7212E-9	-239.588E-9	238.388E-9	3.31136E+0	51.1000E+3	4.80000E+3	-115.000E+0	-58.7212E-9
501.002E-12	-225.011E-9	222.334E-9	3.31380E+0	47.6000E+3	4.40000E+3	-115.000E+0	-58.6210E-9	-239.170E-9	237.780E-9	3.31158E+0	55.4000E+3	5.20000E+3	-115.000E+0	-58.6210E-9
601.202E-12	-223.984E-9	221.651E-9	3.31365E+0	48.9000E+3	4.40000E+3	-115.000E+0	-58.5208E-9	-238.532E-9	236.625E-9	3.31194E+0	53.0000E+3	5.10000E+3	-115.000E+0	-58.5208E-9
701.403E-12	-223.173E-9	220.643E-9	3.31342E+0	52.3000E+3	4.30000E+3	-115.000E+0	-58.4206E-9	-238.118E-9	235.063E-9	3.31240E+0	50.7000E+3	4.30000E+3	-115.000E+0	-58.4206E-9
801.603E-12	-221.541E-9	218.340E-9	3.31321E+0	48.2000E+3	4.50000E+3	-115.000E+0	-58.3204E-9	-237.875E-9	235.598E-9	3.31277E+0	48.9000E+3	6.20000E+3	-115.000E+0	-58.3204E-9
901.804E-12	-221.079E-9	218.592E-9	3.31308E+0	48.6000E+3	5.60000E+3	-115.000E+0	-58.2202E-9	-237.128E-9	236.072E-9	3.31298E+0	53.5000E+3	5.50000E+3	-115.000E+0	-58.2202E-9
